Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_PCAP_CD
ABW,76.0,null,null
AFG,64.0,48.0,524.0
AGO,61.0,52.0,3290.0
ALB,78.0,8.0,5284.0
AND,null,3.0,41793.0
ARE,78.0,7.0,43839.0
ARG,77.0,9.0,11684.0
ARM,75.0,11.0,4220.0
ASM,null,null,11467.0
ATG,77.0,5.0,16727.0
AUS,83.0,3.0,57396.0
AUT,82.0,3.0,51525.0
AZE,73.0,19.0,4740.0
BDI,61.0,41.0,272.0
BEL,82.0,3.0,47491.0
BEN,61.0,61.0,1241.0
BFA,61.0,49.0,820.0
BGD,72.0,25.0,1698.0
BGR,75.0,6.0,9424.0
BHR,77.0,6.0,23991.0
BHS,74.0,8.0,32218.0
BIH,77.0,5.0,6072.0
BLR,74.0,3.0,6330.0
BLZ,74.0,11.0,4885.0
BOL,71.0,22.0,3549.0
BRA,76.0,13.0,9001.0
BRB,79.0,11.0,17745.0
BRN,76.0,10.0,31628.0
BTN,71.0,25.0,3243.0
BWA,69.0,30.0,8280.0
CAF,53.0,85.0,476.0
CAN,82.0,4.0,46313.0
CHE,84.0,4.0,82818.0
CHL,80.0,6.0,15925.0
CHN,77.0,7.0,9977.0
CIV,57.0,59.0,2303.0
CMR,59.0,51.0,1534.0
COD,60.0,68.0,557.0
COG,64.0,36.0,2224.0
COL,77.0,12.0,6719.0
COM,64.0,51.0,1416.0
CPV,73.0,17.0,3617.0
CRI,80.0,8.0,12112.0
CUB,79.0,4.0,8822.0
CUW,null,null,19574.0
CYM,null,null,85477.0
CYP,81.0,2.0,28690.0
CZE,79.0,3.0,23047.0
DEU,81.0,3.0,47639.0
DJI,67.0,50.0,3142.0
DMA,null,33.0,7691.0
DNK,81.0,4.0,61391.0
DOM,74.0,24.0,8051.0
DZA,77.0,20.0,4115.0
ECU,77.0,12.0,6296.0
EGY,72.0,18.0,2549.0
ESP,83.0,3.0,30338.0
EST,78.0,2.0,23258.0
ETH,66.0,39.0,772.0
FIN,82.0,1.0,50021.0
FJI,67.0,22.0,6267.0
FRA,83.0,3.0,41631.0
FRO,83.0,null,null
FSM,68.0,26.0,3568.0
GAB,66.0,33.0,7957.0
GBR,81.0,4.0,43043.0
GEO,74.0,9.0,4723.0
GHA,64.0,35.0,2202.0
GIN,61.0,65.0,983.0
GMB,62.0,39.0,713.0
GNB,58.0,54.0,778.0
GNQ,58.0,63.0,10144.0
GRC,82.0,4.0,20324.0
GRD,72.0,14.0,10486.0
GRL,null,null,54471.0
GTM,74.0,22.0,4473.0
GUM,80.0,null,35713.0
GUY,70.0,25.0,4979.0
HKG,85.0,null,48543.0
HND,75.0,15.0,2506.0
HRV,78.0,4.0,14920.0
HTI,64.0,49.0,868.0
HUN,76.0,4.0,16151.0
IDN,72.0,21.0,3894.0
IMN,null,null,null
IND,69.0,30.0,2006.0
IRL,82.0,3.0,78621.0
IRN,76.0,12.0,null
IRQ,70.0,22.0,5834.0
ISL,83.0,2.0,72969.0
ISR,83.0,3.0,41720.0
ITA,83.0,3.0,34520.0
JAM,74.0,12.0,5354.0
JOR,74.0,14.0,4242.0
JPN,84.0,2.0,39159.0
KAZ,73.0,9.0,9813.0
KEN,66.0,31.0,1708.0
KGZ,71.0,17.0,1308.0
KHM,70.0,24.0,1512.0
KIR,68.0,41.0,1698.0
KNA,null,10.0,19275.0
KOR,83.0,3.0,33340.0
KWT,75.0,7.0,33994.0
LAO,68.0,38.0,2542.0
LBN,79.0,6.0,8025.0
LBR,64.0,54.0,677.0
LBY,73.0,10.0,7877.0
LCA,76.0,15.0,11358.0
LIE,83.0,null,null
LKA,77.0,6.0,4081.0
LSO,54.0,66.0,1222.0
LTU,76.0,3.0,19081.0
LUX,82.0,2.0,116654.0
LVA,75.0,3.0,17805.0
MAC,84.0,null,87209.0
MAR,76.0,19.0,3222.0
MCO,null,3.0,185829.0
MDA,72.0,14.0,4234.0
MDG,67.0,38.0,528.0
MDV,79.0,7.0,10331.0
MEX,75.0,11.0,9673.0
MHL,null,27.0,3788.0
MKD,76.0,9.0,6063.0
MLI,59.0,62.0,900.0
MLT,82.0,6.0,30133.0
MMR,67.0,37.0,1418.0
MNE,77.0,2.0,8850.0
MNG,70.0,14.0,4135.0
MNP,null,null,23259.0
MOZ,60.0,54.0,499.0
MRT,65.0,52.0,1601.0
MUS,74.0,14.0,11208.0
MWI,64.0,35.0,381.0
MYS,76.0,7.0,11373.0
NAM,63.0,29.0,5495.0
NER,62.0,48.0,572.0
NGA,54.0,76.0,2033.0
NIC,74.0,16.0,2021.0
NLD,82.0,3.0,53048.0
NOR,83.0,2.0,81734.0
NPL,70.0,27.0,1039.0
NRU,null,26.0,9762.0
NZL,82.0,5.0,42950.0
OMN,78.0,10.0,16415.0
PAK,67.0,57.0,1482.0
PAN,78.0,13.0,15593.0
PER,77.0,11.0,6941.0
PHL,71.0,22.0,3252.0
PLW,null,17.0,15859.0
PNG,64.0,38.0,2720.0
POL,78.0,4.0,15461.0
PRI,80.0,null,31622.0
PRT,81.0,3.0,23462.0
PRY,74.0,17.0,5806.0
PSE,74.0,17.0,3199.0
QAT,80.0,6.0,68794.0
ROU,75.0,6.0,12409.0
RUS,73.0,6.0,11371.0
RWA,69.0,27.0,783.0
SAU,75.0,6.0,23339.0
SDN,65.0,42.0,624.0
SEN,68.0,32.0,1466.0
SGP,83.0,2.0,66189.0
SLB,73.0,17.0,2138.0
SLE,54.0,79.0,534.0
SLV,73.0,12.0,4068.0
SMR,null,2.0,48481.0
SRB,76.0,5.0,7246.0
SSD,58.0,64.0,null
STP,70.0,24.0,2001.0
SUR,72.0,17.0,6004.0
SVK,77.0,5.0,19428.0
SVN,81.0,2.0,26055.0
SWE,83.0,2.0,54589.0
SWZ,59.0,43.0,4146.0
SYC,73.0,12.0,16391.0
TCA,null,null,27142.0
TCD,54.0,71.0,726.0
TGO,61.0,47.0,679.0
THA,77.0,8.0,7295.0
TJK,71.0,30.0,827.0
TKM,68.0,39.0,6967.0
TLS,69.0,39.0,1237.0
TON,71.0,13.0,4364.0
TTO,73.0,16.0,17130.0
TUN,77.0,15.0,3439.0
TUR,77.0,9.0,9370.0
TUV,null,21.0,3701.0
TZA,65.0,38.0,1061.0
UGA,63.0,34.0,767.0
UKR,72.0,8.0,3097.0
URY,78.0,6.0,17278.0
USA,79.0,6.0,62997.0
UZB,72.0,19.0,1529.0
VCT,72.0,15.0,7361.0
VEN,72.0,21.0,null
VIR,80.0,null,null
VNM,75.0,17.0,2567.0
VUT,70.0,22.0,3096.0
WSM,73.0,14.0,4183.0
YEM,66.0,43.0,968.0
ZAF,64.0,29.0,6374.0
ZMB,64.0,40.0,1556.0
ZWE,61.0,34.0,1684.0
ERI,66.0,31.0,null
PRK,72.0,14.0,null
SOM,57.0,77.0,null
SYR,72.0,14.0,null
BMU,82.0,null,null
MAF,80.0,null,null
NCL,77.0,null,null
PYF,77.0,null,null
SXM,null,null,null
ZZA,83.0,null,null
