source,target
BOL,BLZ
MNE,BLZ
GEO,BLZ
IRN,BLZ
MNE,BOL
LKA,BOL
GTM,BOL
GEO,BOL
KHM,BIH
MEX,BRA
CRI,BRA
MYS,BRA
THA,COL
SUR,COL
MYS,CRI
MEX,CRI
TUR,DOM
NAM,EGY
BIH,EGY
KGZ,EGY
PRY,SLV
LKA,GEO
GTM,GEO
ALB,GEO
IDN,GTM
PHL,GTM
ALB,GTM
VNM,GTM
LKA,GTM
PHL,IDN
VNM,IDN
TUN,IDN
GEO,IRN
MNE,IRN
GTM,IRN
BOL,IRN
MKD,IRQ
SRB,IRQ
UKR,IRQ
NAM,KGZ
KHM,KGZ
BIH,KGZ
MEX,MYS
BOL,MUS
IRN,MUS
BLZ,MUS
MNE,MUS
GEO,MUS
BLR,MEX
MNE,MNG
MUS,MNG
BOL,MNG
GEO,MNG
IRN,MNG
BLZ,MNG
GTM,MNE
GEO,MNE
LKA,MNE
BIH,NAM
KHM,NAM
UKR,MKD
RUS,PAN
IRN,PRY
MNG,PRY
BOL,PRY
MUS,PRY
MNE,PRY
BLZ,PRY
TUN,PHL
COL,RUS
MKD,SRB
UKR,SRB
ARM,ZAF
IDN,LKA
PHL,LKA
ALB,LKA
VNM,LKA
TUN,LKA
DOM,SUR
TUR,SUR
DOM,THA
SUR,THA
IRQ,TUN
PHL,VNM
TUN,VNM
IDN,ALB
PHL,ALB
VNM,ALB
TUN,ALB