id,modularity_class,happy
BIH,5,0.4886388227656352
KHM,5,0.2168361826444493
EGY,5,0.31529971867561135
KGZ,5,0.49339969703527364
NAM,5,0.36117723436485605
BLR,7,0.6269205799610473
BRA,7,0.875784462237611
CRI,7,0.9049989179831205
MYS,7,0.6708504652672581
MEX,7,0.8381302748322873
BLZ,18,0.6602466998485177
BOL,18,0.6312486474789006
SLV,18,0.6844838779484959
GEO,18,0.2914953473274183
IRN,18,0.4128976412032027
MUS,18,0.5935944600735771
MNG,18,0.4332395585371132
MNE,18,0.4882060160138497
PRY,18,0.5697900887253842
GTM,26,0.7398831421770179
IDN,26,0.5213157325254274
PHL,26,0.5137416143691841
LKA,26,0.32676909759792255
TUN,26,0.4631032244103008
VNM,26,0.4665656784245834
ALB,26,0.37870590781216196
COL,27,0.7738584721921662
DOM,27,0.4869075957584939
PAN,27,0.8214672148885521
RUS,27,0.6386063622592512
SUR,27,0.7279809565029215
THA,27,0.7723436485609175
TUR,27,0.5375459857173772
IRQ,28,0.3613936377407488
MKD,28,0.47954988097814333
SRB,28,0.49166847002813235
UKR,28,0.3070763903916901
ZAF,38,0.3362908461371997
ARM,38,0.3148669119238261